grantee,grantee_url,description,Award Date,Amount,Term,Program
"A Far Cry, Inc.",http://afarcry.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$150,000",36 months,Arts & Creativity
"Barrington Stage Company, Inc.",https://www.barringtonstageco.com,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$262,500",36 months,Arts & Creativity
"Boston Chinatown Neighborhood Center, Inc.",http://bcnc.net,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$112,500",36 months,Arts & Creativity
"Boston Modern Orchestra Project, Inc.",http://www.bmop.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$150,000",36 months,Arts & Creativity
"Boston Schools Fund, Inc.",https://www.bostonschoolfinder.org,To support Boston School Finder 2.0.,9/19/2018,"$500,000",36 months,Education
"Cape Ann Museum, Inc.",http://www.capeannmuseum.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$187,500",36 months,Arts & Creativity
"Ceres, Inc.",http://ceres.org,To mobilize businesses and investors in support of clean energy.,9/19/2018,"$1,050,000",36 months,Climate
"City Year, Inc.",http://www.cityyear.org/boston,To support City Year BostonÛªs Whole School Whole Child program.,9/19/2018,"$450,000",24 months,Education
"Community Access to the Arts, Inc.",http://cataarts.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$150,000",36 months,Arts & Creativity
"Community Art Center, Inc.",http://www.artcenter.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$150,000",36 months,Arts & Creativity
"Community Music School of Springfield, Inc.",http://www.communitymusicschool.com,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$187,500",36 months,Arts & Creativity
Community Partners,http://-,To provide core support for its Fund the People program.,9/19/2018,"$225,000",36 months,Sector Effectiveness
"Company One, Inc.",http://www.companyone.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$112,500",36 months,Arts & Creativity
"Conservation Law Foundation, Inc.",http://www.clf.org,To inform climate policies and practices in the region.,9/19/2018,"$2,400,000",36 months,Climate
"Design Museum Boston, Inc.",http://designmuseumboston.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$112,500",36 months,Arts & Creativity
"Double Edge Theatre Productions, Inc.",http://www.doubleedgetheatre.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$150,000",36 months,Arts & Creativity
Eliot School Trustees,http://www.eliotschool.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$150,000",36 months,Arts & Creativity
"Featherstone Center for the Arts, Inc.",http://www.featherstoneart.org,To support participation in the Barr Klarman Massachusetts Arts Initiative.,9/19/2018,"$112,500",36 months,Arts & Creativity
Fitchburg Art Museum,http://www.fitchburgartmuseum.org,To support participation in the Barr-Klarman Massachusetts Arts Initiative.,9/19/2018,"$150,000",36 months,Arts & Creativity
"Funders' Network for Smart Growth and Livable Communities, Inc.",http://www.fundersnetwork.org,"To support the PLACES fellowship, including programming, engagement, and communications.",9/19/2018,"$160,000",24 months,Climate
"GreenRoots, Inc.",http://www.greenrootschelsea.org,To support community organizing in East Boston for waterfront and public space improvements.,9/19/2018,"$440,000",22 months,Special Initiatives
